code,asof,snapshot_generated_jst,open,high,low,close,adj_close,volume,sma25,sma75,sma75_5,prev_adj_close,fresh_75_cross_up,sma75_rising_5d,sma25_above_sma75,price_le_sma25,v2_foundation,lot_cost_100_shares_jpy,affordable_with_300k
1925,2026-09-07,2026-09-07T14:27:09.498596+09:00,4737.0,4738.0,4632.0,4640.0,4640.0,766700,4644.88,4515.68,4501.093333333333,4697.0,False,True,True,True,False,464000.0,False
1928,2026-09-07,2026-09-07T14:27:09.498596+09:00,3370.0,3383.0,3350.0,3353.0,3353.0,1122500,3418.08,3361.480029296875,3354.3256315104168,3379.0,False,True,True,True,False,335300.0,False
2502,2026-09-07,2026-09-07T14:27:09.498596+09:00,1640.0,1646.0,1630.0,1632.0,1632.0,2989100,1668.14,1590.9376643880207,1583.4581184895833,1639.0,False,True,True,True,False,163200.0,True
2503,2026-09-07,2026-09-07T14:27:09.498596+09:00,2884.5,2902.5,2862.0,2864.0,2864.0,1010000,2998.62,2854.2257291666665,2834.8179947916665,2912.0,False,True,True,True,False,286400.0,True
2802,2026-09-07,2026-09-07T14:27:09.498596+09:00,5206.0,5281.0,5155.0,5238.0,5238.0,1963200,5339.8,5379.066666666667,5375.48,5174.0,False,True,False,True,False,523800.0,False
2914,2026-09-07,2026-09-07T14:27:09.498596+09:00,6779.0,6796.0,6726.0,6740.0,6740.0,2297200,6967.16,6402.742174479166,6355.042506510416,6803.0,False,True,True,True,False,674000.0,False
3382,2026-09-07,2026-09-07T14:27:09.498596+09:00,2059.0,2062.5,2026.5,2034.5,2034.5,3158900,2020.287060546875,1968.8248404947917,1957.4719449869792,2060.5,False,True,True,False,False,203450.0,True
3407,2026-09-07,2026-09-07T14:27:09.498596+09:00,1630.0,1631.0,1607.5,1615.0,1615.0,1501000,1654.6,1753.5333333333333,1757.2933333333333,1612.0,False,False,False,True,False,161500.0,True
4063,2026-09-07,2026-09-07T14:27:09.498596+09:00,5835.0,5862.0,5798.0,5818.0,5818.0,3764100,6079.76,6751.733333333334,6825.746666666667,5786.0,False,False,False,True,False,581800.0,False
4188,2026-09-07,2026-09-07T14:27:09.498596+09:00,1250.0,1261.0,1227.5,1231.5,1231.5,2248000,1191.1,1150.1133333333332,1133.7533333333333,1237.5,False,True,True,False,False,123150.0,True
4307,2026-09-07,2026-09-07T14:27:09.498596+09:00,5078.0,5105.0,4902.0,4971.0,4971.0,1668700,4995.96,4874.613333333334,4837.826666666667,5244.0,False,True,True,True,False,497100.0,False
4452,2026-09-07,2026-09-07T14:27:09.498596+09:00,3500.0,3503.0,3452.0,3458.0,3458.0,978500,3533.6,3265.7546158854166,3225.4010188802085,3495.0,False,True,True,True,False,345800.0,False
4502,2026-09-07,2026-09-07T14:27:09.498596+09:00,5770.0,5826.0,5740.0,5778.0,5778.0,1481100,5670.68,5373.533333333334,5334.973333333333,5753.0,False,True,True,False,False,577800.0,False
