strategy,phase,date,cash_jpy,market_value_jpy,equity_jpy,capital_utilization,open_positions
S1_V2_FOUNDATION,all,2021-09-24,300000.0,0.0,300000.0,0.0,0
S1_V2_FOUNDATION,all,2021-09-27,300000.0,0.0,300000.0,0.0,0
S1_V2_FOUNDATION,all,2021-09-28,300000.0,0.0,300000.0,0.0,0
S1_V2_FOUNDATION,all,2021-09-29,300000.0,0.0,300000.0,0.0,0
S1_V2_FOUNDATION,all,2021-09-30,300000.0,0.0,300000.0,0.0,0
S1_V2_FOUNDATION,all,2021-10-01,300000.0,0.0,300000.0,0.0,0
S1_V2_FOUNDATION,all,2021-10-04,300000.0,0.0,300000.0,0.0,0
S1_V2_FOUNDATION,all,2021-10-05,204000.0,96700.0,300700.0,0.32158297306285333,1
S1_V2_FOUNDATION,all,2021-10-06,204000.0,98200.0,302200.0,0.3249503639973527,1
S1_V2_FOUNDATION,all,2021-10-07,204000.0,96700.0,300700.0,0.32158297306285333,1
S1_V2_FOUNDATION,all,2021-10-08,204000.0,96900.0,300900.0,0.3220338983050847,1
S1_V2_FOUNDATION,all,2021-10-11,204000.0,97200.0,301200.0,0.32270916334661354,1
S1_V2_FOUNDATION,all,2021-10-12,67550.0,233400.0,300950.0,0.7755441103173285,2
S1_V2_FOUNDATION,all,2021-10-13,162550.0,136050.0,298600.0,0.45562625586068317,1
S1_V2_FOUNDATION,all,2021-10-14,162550.0,137650.0,300200.0,0.4585276482345103,1
S1_V2_FOUNDATION,all,2021-10-15,162550.0,140450.0,303000.0,0.4635313531353135,1
S1_V2_FOUNDATION,all,2021-10-18,162550.0,140000.0,302550.0,0.4627334324904974,1
S1_V2_FOUNDATION,all,2021-10-19,162550.0,139600.0,302150.0,0.4620221744166805,1
S1_V2_FOUNDATION,all,2021-10-20,162550.0,139600.0,302150.0,0.4620221744166805,1
S1_V2_FOUNDATION,all,2021-10-21,162550.0,136800.0,299350.0,0.45699014531484883,1
S1_V2_FOUNDATION,all,2021-10-22,162550.0,137850.0,300400.0,0.45888814913448733,1
S1_V2_FOUNDATION,all,2021-10-25,162550.0,144550.0,307100.0,0.47069358515141646,1
S1_V2_FOUNDATION,all,2021-10-26,162550.0,152700.0,315250.0,0.4843774781919112,1
S1_V2_FOUNDATION,all,2021-10-27,162550.0,150000.0,312550.0,0.47992321228603424,1
S1_V2_FOUNDATION,all,2021-10-28,162550.0,148450.0,311000.0,0.47733118971061095,1
S1_V2_FOUNDATION,all,2021-10-29,162550.0,139250.0,301800.0,0.4613982770046388,1
S1_V2_FOUNDATION,all,2021-11-01,162550.0,138200.0,300750.0,0.4595178719866999,1
S1_V2_FOUNDATION,all,2021-11-02,64750.0,232290.00244140625,297040.00244140625,0.782015891907446,2
S1_V2_FOUNDATION,all,2021-11-04,161200.0,140200.0,301400.0,0.46516257465162575,1
