code,rows,rows_reconstructed,max_future_split_factor,min_future_split_factor,split_event_count
1925,1466,0,1.0,1.0,0
1928,1466,0,1.0,1.0,0
2502,1466,993,3.0,1.0,1
2503,1466,0,1.0,1.0,0
2802,1466,1113,2.0,1.0,1
2914,1466,0,1.0,1.0,0
3382,1466,849,3.0,1.0,1
3407,1466,0,1.0,1.0,0
4063,1466,625,5.0,1.0,1
4188,1466,0,1.0,1.0,0
4307,1466,0,1.0,1.0,0
4452,1466,1418,2.0,1.0,1
4502,1466,0,1.0,1.0,0
4503,1466,0,1.0,1.0,0
4507,1466,993,3.0,1.0,1
4519,1466,0,1.0,1.0,0
4543,1466,869,2.0,1.0,1
4568,1466,14,3.0,1.0,1
4578,1466,0,1.0,1.0,0
4661,1466,625,5.0,1.0,1
4689,1466,0,1.0,1.0,0
4901,1466,869,3.0,1.0,1
5020,1466,0,1.0,1.0,0
5108,1466,1299,2.0,1.0,1
5401,1466,1237,5.0,1.0,1
5802,1466,1418,4.0,1.0,1
5803,1466,1357,6.0,1.0,1
6098,1466,0,1.0,1.0,0
6146,1466,625,3.0,1.0,1
6178,1466,0,1.0,1.0,0
6273,1466,0,1.0,1.0,0
6301,1466,0,1.0,1.0,0
6326,1466,0,1.0,1.0,0
6367,1466,0,1.0,1.0,0
6501,1466,931,5.0,1.0,1
6503,1466,0,1.0,1.0,0
6701,1466,1113,5.0,1.0,1
6702,1466,869,10.0,1.0,1
6723,1466,0,1.0,1.0,0
6752,1466,0,1.0,1.0,0
6758,1466,993,5.0,1.0,1
6762,1466,993,15.0,1.0,2
6857,1466,749,4.0,1.0,1
6861,1466,0,1.0,1.0,0
6902,1466,749,4.0,1.0,1
6920,1466,0,1.0,1.0,0
6954,1466,625,5.0,1.0,1
6971,1466,811,4.0,1.0,1
6981,1466,749,3.0,1.0,1
7011,1466,869,10.0,1.0,1
7182,1466,0,1.0,1.0,0
7203,1466,258,5.0,1.0,1
7267,1466,749,3.0,1.0,1
7269,1466,869,4.0,1.0,1
7270,1466,0,1.0,1.0,0
7309,1466,0,1.0,1.0,0
7733,1466,0,1.0,1.0,0
7741,1466,0,1.0,1.0,0
7751,1466,0,1.0,1.0,0
7832,1466,625,3.0,1.0,1
7936,1466,931,4.0,1.0,1
7974,1466,503,10.0,1.0,1
8001,1466,1299,5.0,1.0,1
8002,1466,0,1.0,1.0,0
8015,1466,931,3.0,1.0,1
8031,1466,931,2.0,1.0,1
8035,1466,625,3.0,1.0,1
8053,1466,1418,4.0,1.0,1
8058,1466,811,3.0,1.0,1
8113,1466,1056,3.0,1.0,1
8267,1466,1217,3.0,1.0,1
8306,1466,0,1.0,1.0,0
8308,1466,0,1.0,1.0,0
8309,1466,1440,8.0,1.0,2
8316,1466,993,3.0,1.0,1
8411,1466,14,1.0,0.1,1
8591,1466,0,1.0,1.0,0
8604,1466,0,1.0,1.0,0
8630,1466,869,3.0,1.0,1
8697,1466,993,2.0,1.0,1
8725,1466,869,3.0,1.0,1
8729,229,0,1.0,1.0,0
8750,1466,1113,4.0,1.0,1
8766,1466,503,3.0,1.0,1
8801,1466,869,3.0,1.0,1
8802,1466,0,1.0,1.0,0
8830,1466,1299,2.0,1.0,1
9020,1466,869,3.0,1.0,1
9021,1466,869,2.0,1.0,1
9022,1466,749,5.0,1.0,1
9101,1466,503,3.0,1.0,1
9104,1466,380,3.0,1.0,1
9202,1466,0,1.0,1.0,0
9432,1466,687,25.0,1.0,1
9433,1466,1113,2.0,1.0,1
9434,1466,993,10.0,1.0,1
9735,1466,993,2.0,1.0,1
9983,1466,603,3.0,1.0,1
9984,1466,1299,4.0,1.0,1
