strategy,phase,code,signal_date,entry_date,entry_price,entry_shares,entry_cost_jpy,initial_stop,exit_date,exit_price,exit_shares,exit_reason,pnl_jpy,trade_return,holding_calendar_days
S1_V2_FOUNDATION,all,7182,2021-10-04,2021-10-05,960.0,100.0,96000.0,950.5,2021-10-13,950.0,100.0,STOP_GAP_OPEN,-1000.0,-0.010416666666666666,8
S1_V2_FOUNDATION,all,4188,2021-11-01,2021-11-02,978.0,100.0,97800.0,964.9000000000001,2021-11-04,964.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1350.0,-0.013803680981595092,2
S1_V2_FOUNDATION,all,6752,2021-10-11,2021-10-12,1364.5,100.0,136450.0,1333.0,2021-11-10,1360.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-450.0,-0.003297911322828875,29
S1_V2_FOUNDATION,all,6503,2021-11-10,2021-11-11,1529.5,100.0,152950.0,1529.5,2021-11-12,1530.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,50.0,0.00032690421706440013,1
S1_V2_FOUNDATION,all,6326,2021-11-12,2021-11-15,2412.5,100.0,241250.0,2348.0,2021-11-17,2348.0,100.0,STOP_INTRADAY,-6450.0,-0.02673575129533679,2
S1_V2_FOUNDATION,all,8750,2021-11-22,2021-11-24,2386.0,100.0,238600.0,2354.5,2021-11-25,2353.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-3250.0,-0.013621123218776194,1
S1_V2_FOUNDATION,all,8750,2021-11-25,2021-11-26,2359.0,100.0,235900.0,2361.5,2021-11-29,2294.5,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-6450.0,-0.027342094107672743,3
S1_V2_FOUNDATION,all,8053,2021-12-03,2021-12-06,1603.0,100.0,160300.0,1603.0,2021-12-07,1617.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1400.0,0.008733624454148471,1
S1_V2_FOUNDATION,all,1928,2021-12-06,2021-12-07,2362.0,100.0,236200.0,2331.0,2021-12-16,2373.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,1100.0,0.0046570702794242165,9
S1_V2_FOUNDATION,all,5802,2021-12-15,2021-12-16,1548.0,100.0,154800.0,1526.5,2021-12-17,1526.5,100.0,STOP_INTRADAY,-2150.0,-0.013888888888888888,1
S1_V2_FOUNDATION,all,6723,2021-12-22,2021-12-23,1412.0,100.0,141200.0,1404.0,2021-12-27,1404.0,100.0,STOP_INTRADAY,-800.0,-0.0056657223796034,4
S1_V2_FOUNDATION,all,8591,2022-01-28,2022-01-31,2336.0,100.0,233600.0,2317.5,2022-02-22,2317.5,100.0,STOP_INTRADAY,-1850.0,-0.007919520547945206,22
S1_V2_FOUNDATION,all,7751,2022-02-25,2022-02-28,2721.5,100.0,272150.0,2722.0,2022-03-01,2718.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-350.0,-0.0012860554841080288,1
S1_V2_FOUNDATION,all,8604,2022-03-03,2022-03-04,516.7999877929688,100.0,51679.998779296875,513.6,2022-03-07,499.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-1779.998779296875,-0.03444270165133879,3
S1_V2_FOUNDATION,all,5020,2022-03-11,2022-03-14,455.0,100.0,45500.0,446.6,2022-03-15,446.6,100.0,STOP_INTRADAY,-840.0,-0.018461538461538463,1
S1_V2_FOUNDATION,all,6178,2022-03-14,2022-03-15,938.2000122070312,100.0,93820.00122070312,935.2,2022-03-30,918.2999877929688,100.0,STOP_GAP_OPEN,-1990.00244140625,-0.02121085499375499,15
S1_V2_FOUNDATION,all,5020,2022-03-17,2022-03-18,454.0,100.0,45400.0,447.3,2022-04-04,452.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-200.0,-0.004405286343612335,17
S1_V2_FOUNDATION,all,5020,2022-04-13,2022-04-14,454.40000000000003,100.0,45440.0,454.70000000000005,2022-04-15,454.20001220703125,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-19.998779296875,-0.00044011398100517163,1
S1_V2_FOUNDATION,all,8306,2022-03-09,2022-03-10,696.5,100.0,69650.0,673.6,2022-05-12,735.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,3850.0,0.05527638190954774,63
S1_V2_FOUNDATION,all,8308,2022-03-09,2022-03-10,492.5,100.0,49250.0,479.3,2022-05-12,521.2999877929688,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,2879.998779296875,0.058477132574555835,63
S1_V2_FOUNDATION,all,8002,2022-05-12,2022-05-13,1311.0,100.0,131100.0,1312.5,2022-05-16,1312.5,100.0,STOP_INTRADAY,150.0,0.0011441647597254005,3
S1_V2_FOUNDATION,all,9434,2022-05-13,2022-05-16,1465.5,100.0,146550.0,1465.5,2022-05-17,1456.9999694824219,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-850.0030517578125,-0.005800089060101075,1
S1_V2_FOUNDATION,all,8306,2022-05-23,2022-05-24,742.2999877929688,100.0,74229.99877929688,740.3000000000001,2022-05-25,735.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-729.998779296875,-0.009834282517871674,1
S1_V2_FOUNDATION,all,8306,2022-05-26,2022-05-27,745.5,100.0,74550.0,741.7,2022-05-30,736.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-950.0,-0.012743125419181758,3
S1_V2_FOUNDATION,all,5020,2022-07-19,2022-07-20,508.29998779296875,100.0,50829.998779296875,497.6,2022-07-22,497.3999938964844,100.0,STOP_GAP_OPEN,-1089.9993896484375,-0.02144401762394682,2
S1_V2_FOUNDATION,all,6178,2022-08-10,2022-08-12,958.5,100.0,95850.0,949.7,2022-08-29,949.7,100.0,STOP_INTRADAY,-880.0,-0.009181011997913406,17
S1_V2_FOUNDATION,all,9434,2022-06-20,2022-06-21,1478.0000305175781,100.0,147800.0030517578,1477.0,2022-08-30,1506.9999694824219,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,2899.993896484375,0.01962106790666866,70
S1_V2_FOUNDATION,all,8697,2022-08-30,2022-08-31,2084.5,100.0,208450.0,2086.5,2022-09-01,2052.0,100.0,SMA75_CLOSE_BREAK_NEXT_OPEN,-3250.0,-0.015591268889421923,1
