strategy,description,period,horizon_days,candidate_event_count,n,win_rate,mean_return,median_return,avg_gain,avg_loss,payoff_ratio,mean_max_up,mean_max_down
S1_V2_FOUNDATION,v2 foundation only,all,5,890,888,0.5855855855855856,0.006633699458269734,0.0069093032662097004,0.034918271944786736,-0.03379277215522199,1.0333059325347722,0.03484857584655591,-0.028735602483463286
S1_V2_FOUNDATION,v2 foundation only,all,10,890,885,0.6124293785310735,0.018222813593225074,0.0137964552834752,0.051604234559490904,-0.03472816745231636,1.4859475274745289,0.05383068677152409,-0.0378667484145096
S1_V2_FOUNDATION,v2 foundation only,all,20,890,881,0.6322360953461975,0.028035582450828503,0.0216840857188369,0.07453895137127405,-0.05191002399573992,1.435925966387363,0.0835128248092439,-0.05264031187945314
S1_V2_FOUNDATION,v2 foundation only,all,40,890,862,0.6334106728538283,0.04607981897261727,0.03495548056535065,0.11101395412738882,-0.06611650316189303,1.679065722147461,0.1236821904705475,-0.06973591911040149
S1_V2_FOUNDATION,v2 foundation only,discovery,5,510,510,0.5882352941176471,0.008311232011638182,0.00604256719426385,0.031378225278867224,-0.025120093484100468,1.2491285232966105,0.03083444780614252,-0.022044782319411347
S1_V2_FOUNDATION,v2 foundation only,discovery,10,510,510,0.5980392156862745,0.016050708427585696,0.0112942493430142,0.04717510760857628,-0.030404639816407168,1.5515759401668463,0.04771878412712926,-0.030317385134312504
S1_V2_FOUNDATION,v2 foundation only,discovery,20,510,510,0.6392156862745098,0.02872127278920026,0.01917723753351315,0.06895017091033945,-0.042553840186296356,1.6203043158615686,0.07461900445324654,-0.04172387141156828
S1_V2_FOUNDATION,v2 foundation only,discovery,40,510,510,0.6137254901960785,0.03629057741462762,0.0304258002665848,0.09681487064551422,-0.0598723859420602,1.6170204197174314,0.1069863618764184,-0.062184653043467354
S1_V2_FOUNDATION,v2 foundation only,validation,5,339,337,0.5905044510385756,0.009869116143803473,0.0085441002000679,0.040101860476169,-0.03397356273208658,1.1803843121314594,0.04030497518047868,-0.03184997369611812
S1_V2_FOUNDATION,v2 foundation only,validation,10,339,334,0.6317365269461078,0.022175031183574296,0.01603426215314455,0.05720625413247065,-0.03822999349702864,1.4963710139505233,0.06188536118469786,-0.04224944505865693
S1_V2_FOUNDATION,v2 foundation only,validation,20,339,330,0.6363636363636364,0.02938931218942123,0.02596591820110345,0.08296977211165235,-0.06437649267448323,1.2888209448002268,0.09631633275894219,-0.06051819903357561
S1_V2_FOUNDATION,v2 foundation only,validation,40,339,311,0.6591639871382636,0.059449703855813066,0.0418633715489689,0.13047795617188498,-0.07791625581206181,1.6745922248446437,0.1494017868831196,-0.0735636681341914
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,all,5,207,207,0.5942028985507246,0.0067775082356274115,0.0087124617153908,0.04147757364952949,-0.0440333018347292,0.9419591972731874,0.04354033754914691,-0.03918173337577114
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,all,10,207,205,0.6731707317073171,0.033084842579559966,0.0292140437284877,0.06513341670880268,-0.032925653388133996,1.9781966341258992,0.07187837005914399,-0.0475019251067341
S2_V2_PLUS_SMA75_SLOPE_GE_0_75PCT,v2 foundation + 75MA 5-session rise >= 0.75%,all,20,207,204,0.7009803921568627,0.043394167982408846,0.036634111225350305,0.0900317282061728,-0.06593650598477553,1.365430680038775,0.11408399865325645,-0.06326099672701606
