feature,label,event_count_total,low,high,passed,validation_rank_score,check_discovery_n40_enough,check_validation_n40_enough,check_discovery_20d_mean_return_improves,check_discovery_40d_mean_return_improves,check_validation_20d_mean_return_improves,check_validation_20d_win_rate_improves,check_validation_40d_mean_return_improves,check_validation_40d_win_rate_improves,check_validation_20d_drawdown_not_worse,check_validation_40d_drawdown_not_worse,check_validation_mean_return_improves_at_least_3_of_4,check_validation_win_rate_improves_at_least_3_of_4,discovery_5d_n,discovery_5d_win_rate,discovery_5d_mean_return,discovery_5d_median_return,discovery_5d_avg_gain,discovery_5d_avg_loss,discovery_5d_mean_max_up,discovery_5d_mean_max_down,discovery_5d_best_max_up,discovery_5d_worst_max_down,discovery_10d_n,discovery_10d_win_rate,discovery_10d_mean_return,discovery_10d_median_return,discovery_10d_avg_gain,discovery_10d_avg_loss,discovery_10d_mean_max_up,discovery_10d_mean_max_down,discovery_10d_best_max_up,discovery_10d_worst_max_down,discovery_20d_n,discovery_20d_win_rate,discovery_20d_mean_return,discovery_20d_median_return,discovery_20d_avg_gain,discovery_20d_avg_loss,discovery_20d_mean_max_up,discovery_20d_mean_max_down,discovery_20d_best_max_up,discovery_20d_worst_max_down,discovery_40d_n,discovery_40d_win_rate,discovery_40d_mean_return,discovery_40d_median_return,discovery_40d_avg_gain,discovery_40d_avg_loss,discovery_40d_mean_max_up,discovery_40d_mean_max_down,discovery_40d_best_max_up,discovery_40d_worst_max_down,validation_5d_n,validation_5d_win_rate,validation_5d_mean_return,validation_5d_median_return,validation_5d_avg_gain,validation_5d_avg_loss,validation_5d_mean_max_up,validation_5d_mean_max_down,validation_5d_best_max_up,validation_5d_worst_max_down,validation_10d_n,validation_10d_win_rate,validation_10d_mean_return,validation_10d_median_return,validation_10d_avg_gain,validation_10d_avg_loss,validation_10d_mean_max_up,validation_10d_mean_max_down,validation_10d_best_max_up,validation_10d_worst_max_down,validation_20d_n,validation_20d_win_rate,validation_20d_mean_return,validation_20d_median_return,validation_20d_avg_gain,validation_20d_avg_loss,validation_20d_mean_max_up,validation_20d_mean_max_down,validation_20d_best_max_up,validation_20d_worst_max_down,validation_40d_n,validation_40d_win_rate,validation_40d_mean_return,validation_40d_median_return,validation_40d_avg_gain,validation_40d_avg_loss,validation_40d_mean_max_up,validation_40d_mean_max_down,validation_40d_best_max_up,validation_40d_worst_max_down,discovery_delta_5d_mean_return_delta,discovery_delta_5d_win_rate_delta,discovery_delta_5d_mean_max_down_delta,discovery_delta_10d_mean_return_delta,discovery_delta_10d_win_rate_delta,discovery_delta_10d_mean_max_down_delta,discovery_delta_20d_mean_return_delta,discovery_delta_20d_win_rate_delta,discovery_delta_20d_mean_max_down_delta,discovery_delta_40d_mean_return_delta,discovery_delta_40d_win_rate_delta,discovery_delta_40d_mean_max_down_delta,validation_delta_5d_mean_return_delta,validation_delta_5d_win_rate_delta,validation_delta_5d_mean_max_down_delta,validation_delta_10d_mean_return_delta,validation_delta_10d_win_rate_delta,validation_delta_10d_mean_max_down_delta,validation_delta_20d_mean_return_delta,validation_delta_20d_win_rate_delta,validation_delta_20d_mean_max_down_delta,validation_delta_40d_mean_return_delta,validation_delta_40d_win_rate_delta,validation_delta_40d_mean_max_down_delta
rs20_vs_topix,RS20_GE_3PCT,52,0.03,inf,False,0.12877155088494324,False,False,True,True,True,True,True,True,True,True,True,True,20,0.7,0.006298333344081385,0.013978797517451,0.024702230427342344,-0.03664409318352752,0.03168793485254995,-0.026543121946147958,0.0633483564185537,-0.1119043293246275,20,0.8,0.02389293745153127,0.02212693090733945,0.03966991406492406,-0.039214969002039926,0.04928948864813956,-0.0322014063538684,0.1388812329603421,-0.1119043293246275,20,0.75,0.041098881316974145,0.03893708189975635,0.06465576676444147,-0.029571775025427884,0.07802948440183581,-0.037750128650922435,0.1607571039615634,-0.1119043293246275,20,0.65,0.05743138359619556,0.05062511486621895,0.11303466257735671,-0.045831848797389454,0.1167253426446565,-0.05427542291005466,0.2699849792587871,-0.1516058204192257,21,0.8571428571428571,0.030117706062124303,0.0321684795186298,0.04014315570047127,-0.03003499176795747,0.057703111834152304,-0.0222416341582428,0.1841004184100418,-0.1564353722783527,21,0.8571428571428571,0.05485480229541789,0.0458256458563539,0.0688438197840414,-0.0290793026363232,0.08454124447735652,-0.027742368570663308,0.2002395064462621,-0.1564353722783527,21,0.7142857142857143,0.05329255000096802,0.0655706646978031,0.10272634087390407,-0.07029192718137207,0.13196095466999913,-0.04460337228726392,0.3624663900257479,-0.2282659228265923,20,0.8,0.07969347552532531,0.058533140855115795,0.11349181481892053,-0.0554998816490556,0.15943485396423734,-0.0523133162398838,0.5069203265594913,-0.4176249622996002,-0.0020128987390546065,0.11176470588235288,-0.0044983410334709754,0.007842225654176149,0.20196078431372555,-0.0018840224658642248,0.012377613816691342,0.11078431372549025,0.003973745288964582,0.021140810883558826,0.03627450980392155,0.007909236210000135,0.020248596597469134,0.26663840610428147,0.009608344370121622,0.032679776001245546,0.22540633019674927,0.014507081265261287,0.023903244186318885,0.07792207792207795,0.015914831759027782,0.02024377686105379,0.14083601286173641,0.021250355409320305
rs20_vs_topix,RS20_0_TO_3PCT,114,0.0,0.03,False,0.08510381595438007,False,False,True,False,True,True,True,True,True,True,True,True,78,0.5128205128205128,0.008894061319619681,0.00070194133073445,0.038908890875486254,-0.024646252916831854,0.0306196590878035,-0.02483646794549574,0.1855422035232936,-0.1128291113323373,78,0.5512820512820513,0.02069895762993377,0.013304770824309649,0.0613149500543058,-0.02920069020572331,0.050386439167010424,-0.03174053634067085,0.2034079376897344,-0.1128291113323373,78,0.6282051282051282,0.034854033236330774,0.016632214461671,0.07697444257610381,-0.036314934268802994,0.07976154758349979,-0.04158323754564554,0.3397589309254816,-0.206355477277342,78,0.5512820512820513,0.032650938250813624,0.0233788508030836,0.10548872797766178,-0.05683548912788556,0.11088416802692795,-0.07038164548644679,0.5048192882739628,-0.3552083305257096,28,0.6785714285714286,0.016621074317561022,0.018592656940864302,0.048732318861315085,-0.05116933083036422,0.04266100109086534,-0.03682161546712147,0.1502969406783396,-0.198968298801774,28,0.75,0.03394755741631308,0.0386046370436614,0.059878767124458804,-0.051153750326144776,0.062028323971598846,-0.0391729917852288,0.2326341596295287,-0.198968298801774,28,0.6785714285714286,0.042573852198675544,0.065128488171126,0.09750116657661753,-0.07338381148809088,0.09602697992335443,-0.05874510023541749,0.4342141105965678,-0.2789697775916228,28,0.75,0.09943486324415375,0.038409917695709755,0.15877949259643148,-0.07859902481267937,0.18147173625669138,-0.06975085601432535,2.0305093979842006,-0.2954358883440424,0.0005828292364836903,-0.0754147812971343,-0.002791687032818759,0.004648245832578647,-0.04675716440422317,-0.0014231524526666754,0.006132765736047971,-0.01101055806938156,0.00014063639424147928,-0.0036396344618231102,-0.06244343891402715,-0.008196986366391996,0.006751964852905853,0.08806697753285297,-0.004971636938757046,0.01177253112214073,0.11826347305389218,0.003076458050695792,0.01318454638402641,0.04220779220779225,0.001773103810874213,0.03998516457988223,0.09083601286173637,0.003812815634878758
sma75_slope5_pct,SLOPE_GE_0_75PCT,207,0.0075,inf,False,0.05153729837179742,True,False,True,True,True,True,True,True,False,False,True,True,100,0.59,0.009042346024039668,0.00639314498466295,0.032599609998874006,-0.024857131403160967,0.03490880110070473,-0.02528890634109036,0.1802086872100643,-0.1158453670723801,100,0.63,0.02637089783355828,0.013192110804601899,0.058709637346012276,-0.028692361336295828,0.06139806601414735,-0.03221342320836329,0.3438660547408105,-0.1421341422802535,100,0.7,0.049234906503372707,0.037194183247907,0.09251266131926035,-0.05174652140036521,0.1022013311104195,-0.04372973694015332,0.7044606477108393,-0.1592823097224455,100,0.69,0.06323766753822518,0.05679587010115155,0.1252836877770072,-0.07486476460616064,0.14721247242086594,-0.06522337488222198,0.8833641958180913,-0.3629609969851007,91,0.5934065934065934,0.008272845120830978,0.0130594043637521,0.04878025726743593,-0.05084608071475463,0.050614086858277035,-0.04599931521742064,0.304010938924339,-0.2643474407267893,89,0.6966292134831461,0.03751550835418238,0.0398329765102729,0.06952702380264635,-0.0359924160089571,0.07987168953995225,-0.05731876869609805,0.3076572470373746,-0.2643474407267893,88,0.7159090909090909,0.038426639078700725,0.0373198413227278,0.08482287575265907,-0.07849187733967428,0.12457362825361101,-0.07596774695413383,0.4133173365326934,-0.3258663360665725,78,0.7435897435897436,0.0949626786773077,0.10279886480315101,0.17044381987197416,-0.12393263078722497,0.21236912093557572,-0.08703913280918148,0.457319587628866,-0.4251798951500414,0.0007311139409036764,0.0017647058823528905,-0.003244125428413378,0.010320186036203157,0.03196078431372551,-0.001896039320359113,0.020513639003089904,0.0607843137254902,-0.0020058630002663044,0.02694709482558845,0.07627450980392148,-0.003038715762167181,-0.0015962643438241914,0.0029021423680177794,-0.01414933668905622,0.015340482060010034,0.06489268653703828,-0.015069318860173458,0.009037333264051591,0.07954545454545459,-0.015449542907842125,0.03551298001303618,0.08442575645147998,-0.013475461159977373
rs60_vs_topix,RS60_GE_5PCT,274,0.05,inf,False,0.0440274434040175,True,True,True,True,True,True,True,True,False,False,True,True,143,0.6993006993006993,0.014609262216555988,0.0126903411417031,0.035572946048162205,-0.034956431139255104,0.04097743665240753,-0.023328269444917654,0.1855422035232936,-0.1708126317859553,143,0.7132867132867133,0.03066776637094468,0.0292141665151539,0.0558503011785779,-0.031981466565118445,0.06188236355902254,-0.029618756301740184,0.2274747584228251,-0.1708126317859553,143,0.7202797202797203,0.04722266985255601,0.0406974483494975,0.08180639442163815,-0.04183042091283046,0.09725863641326118,-0.03809420389355319,0.3397589309254816,-0.1708126317859553,143,0.6643356643356644,0.05215737182286233,0.0506973308099136,0.10919109231926928,-0.06072186665960983,0.13343924248137012,-0.06004024072679111,0.5139394396055397,-0.3259007631087233,101,0.6138613861386139,0.01162320892658309,0.0129548441771192,0.044643622457515464,-0.04087078181489916,0.04699881307678655,-0.040905648558138746,0.1655670103092783,-0.208550580960712,101,0.7029702970297029,0.039064530161937734,0.0414956557252319,0.07318731617345912,-0.04313041041240988,0.077344156373632,-0.05081838695998962,0.2871253479617768,-0.2406443618339528,101,0.7128712871287128,0.048431684636576454,0.0507947946600189,0.0996224470657455,-0.07866262208411913,0.122873213306896,-0.0670766685852228,0.5063058295135336,-0.3258663360665725,99,0.6666666666666666,0.07844516097799505,0.0405611885352024,0.16525929821713425,-0.09518311350028336,0.19450127171962192,-0.09133745992485026,2.0305093979842006,-0.4251798951500414,0.006298030133419997,0.11106540518305219,-0.001283488532240671,0.014617054573589559,0.11524749760043884,0.0006986275862639925,0.018501402352273204,0.08106403400521056,0.003629670046333827,0.015866799110225593,0.050610174139585906,0.0021444183932636876,0.0017540994619279198,0.023356935100038223,-0.009055670029774324,0.016889503867765387,0.0712337700835951,-0.008568937124065028,0.01904237882192732,0.07650765076507648,-0.006558464538931101,0.018995462313723524,0.007502679528403,-0.017773788275646157
vol20_ann,VOL20_GE_35PCT,248,0.35,inf,False,0.0396336195804588,False,True,True,True,True,True,True,True,False,False,True,True,75,0.6533333333333333,0.012914204046533337,0.0079998231529776,0.03565813947684305,-0.029949366572127267,0.03957021485788083,-0.028746011344926808,0.1855422035232936,-0.1708126317859553,75,0.6266666666666667,0.03660524524227995,0.0362398679842539,0.0757208482185407,-0.029053088325014905,0.0696280963440994,-0.03668471061238833,0.3438660547408105,-0.1708126317859553,75,0.68,0.05822835309733996,0.0435296637768818,0.10160748404233559,-0.033952300160775745,0.11467234995452712,-0.045266367414721204,0.7044606477108393,-0.206355477277342,75,0.6,0.05892517603348178,0.0287999296096581,0.13089130631135099,-0.04902401938332203,0.1516955761575814,-0.0625288466966566,0.8833641958180913,-0.206355477277342,143,0.5594405594405595,0.009374685749159426,0.0090742814882971,0.05160095249027189,-0.044245970430031006,0.04921896134621529,-0.04422654717024197,0.304010938924339,-0.2643474407267893,142,0.6619718309859155,0.029259828616586166,0.0373405653966403,0.06833605725569897,-0.04726445246834309,0.07495599605457107,-0.05728074934031845,0.3076572470373746,-0.328348062542488,138,0.6956521739130435,0.04460656627126196,0.039312168260463146,0.098964506141198,-0.07964015343144899,0.12358335978771529,-0.07462539339893452,0.5063058295135336,-0.328348062542488,123,0.6991869918699187,0.08797660273635138,0.0712131204454071,0.1713812395026732,-0.10588282326104519,0.2071224064135634,-0.08523801502532108,2.0305093979842006,-0.4251798951500414,0.004602971963397345,0.06509803921568624,-0.006701230432249825,0.020554533444924826,0.02862745098039221,-0.006367326724384153,0.029507085597057156,0.040784313725490295,-0.0035424934748341866,0.022634603320845048,-0.013725490196078494,-0.0003441875766018107,-0.0004944237154957433,-0.031063891598016147,-0.012376568641877549,0.007084802322413819,0.030235304039807676,-0.015031299504393858,0.015217260456612824,0.059288537549407105,-0.014107189352642817,0.02852690407207986,0.0400230047316551,-0.011674343376116975
pullback25_pct,PULLBACK_0_TO_1PCT,268,0.0,0.01,False,0.028894370606938745,True,True,False,False,True,True,False,True,True,True,False,True,171,0.5321637426900585,0.004300407095880569,0.0021318929304068,0.02862558860406768,-0.02396870448172541,0.025568406590155048,-0.021392203562937914,0.1182108472513376,-0.106500748751798,171,0.49707602339181284,0.009257098928955954,0.0,0.044280874428961836,-0.025657769524826925,0.040267576155118466,-0.030302884037308138,0.2034079376897344,-0.1157944038675914,171,0.5497076023391813,0.013691420394552989,0.0055427711630178,0.056821049595151885,-0.03896033473345087,0.05947100206337836,-0.04243942098483472,0.3294614422414572,-0.1714001336689892,171,0.5555555555555556,0.017772990353172032,0.0202664508289402,0.08437566784801821,-0.06548035651538572,0.08748189814631079,-0.06857742112186466,0.3817184070473509,-0.3629609969851007,85,0.611764705882353,0.014983016939578738,0.0103695040604789,0.03875710942255065,-0.022479189397225496,0.040541973465558115,-0.019082158232228533,0.228007217107877,-0.1375531772071689,85,0.6352941176470588,0.021017470363691778,0.0142055841741584,0.05242954902745282,-0.033700344082859726,0.05762042812345264,-0.02836759784370922,0.2731469612253259,-0.2368891703052227,85,0.6588235294117647,0.037668349113646464,0.0303008827009056,0.08200215662390746,-0.047941761940650605,0.0862571971513432,-0.03881044030367607,0.3624663900257479,-0.2368891703052227,84,0.6785714285714286,0.0480391372712671,0.033981325567211146,0.09959434724142621,-0.060799639332402136,0.12103069502612869,-0.052544175575593564,0.5272379166829257,-0.2368891703052227,-0.004010824987255422,-0.05607155142758857,0.000652577349739069,-0.006793612868399168,-0.10096319229446166,1.4499850696039068e-05,-0.015029847105729814,-0.0895080839353285,-0.0007155470449477022,-0.018517582359464702,-0.05816993464052289,-0.006392762001809861,0.005113907474923568,0.02126025484377736,0.01276782029613589,-0.0011575559304805687,0.0035575907009509633,0.013881851992215376,0.00827904329899733,0.022459893048128343,0.021707763742615634,-0.01141056139300442,0.019407441433164974,0.02101949607361054
vol20_ann,VOL20_20_TO_35PCT,459,0.2,0.35,False,0.006156199248927354,True,True,False,False,False,True,False,False,True,True,False,True,323,0.5634674922600619,0.007998077955073752,0.0042153631619916,0.032647976865125744,-0.02451498255448223,0.030988361736467653,-0.022535738318138335,0.2114868200090029,-0.1128291113323373,323,0.5882352941176471,0.013933712019941992,0.0094480479188516,0.04553399751114842,-0.03144598897482527,0.04745568370415796,-0.031081900984285198,0.3148433649727242,-0.1421341422802535,323,0.6160990712074303,0.02562339739679414,0.0174265973241523,0.06880444008091467,-0.043675211426915404,0.07291733235236392,-0.04346203662685142,0.3571567530841413,-0.1714001336689892,323,0.5882352941176471,0.033835042540367885,0.0327188002812124,0.10094669953176691,-0.06203875316163069,0.10548230720574946,-0.06652697677508611,0.3817184070473509,-0.3629609969851007,125,0.656,0.01672993754217846,0.0147611577574062,0.03875257969055485,-0.025868317663171214,0.04129553495696278,-0.022666761317268278,0.3218370808724557,-0.198968298801774,123,0.6504065040650406,0.024137253208239083,0.0186817301470125,0.0554217492071092,-0.03487756647512685,0.06306960451584367,-0.03147278729526459,0.3240241369839662,-0.198968298801774,123,0.6422764227642277,0.029231733069065832,0.0293763958082804,0.08065323615729361,-0.06309323838479769,0.09152059407102184,-0.05262227288272581,0.3240241369839662,-0.3258663360665725,120,0.6416666666666667,0.05228757784641117,0.04993732890443485,0.12055152340382519,-0.06995251070988834,0.1310358955504008,-0.0704094620597238,0.5272379166829257,-0.3258663360665725,-0.00031315412806223915,-0.024767801857585203,-0.0004909574054613522,-0.00211699977741313,-0.009803921568627416,-0.0007645170962810206,-0.0030978701034886647,-0.023116615067079405,-0.0017381626869644035,-0.0024555301722688494,-0.025490196078431393,-0.004342317655031312,0.006860828077523289,0.0654955489614244,0.009183217211096144,0.0019622269140667364,0.018669977118932812,0.010776662540660002,-0.00015757274558330162,0.005912786400591341,0.007895931163565899,-0.00716212081786035,-0.01749732047159691,0.003154209589480303
rs60_vs_topix,RS60_LT_0,365,-inf,0.0,False,0.00029733834065281137,True,True,False,False,False,False,False,False,True,True,False,False,204,0.5686274509803921,0.00749614180986507,0.00535566861779565,0.029864966985501087,-0.02250143303611223,0.027862537612136525,-0.01990077154526898,0.2114868200090029,-0.1022172661028227,204,0.5735294117647058,0.010489204610132545,0.00829466705303335,0.04099676303904144,-0.030893296919776846,0.041119033943237404,-0.028881642717202737,0.3148433649727242,-0.1392064212742518,204,0.5833333333333334,0.017108823763877158,0.01092489766447675,0.06070680707889992,-0.04392835287715469,0.06368177014589815,-0.04197483790104881,0.3571567530841413,-0.1787830855654927,204,0.6127450980392157,0.02854701775375177,0.0275260794071399,0.0841741127125728,-0.05947053756083844,0.09222931421218887,-0.05794794770122728,0.3571567530841413,-0.2894081890626627,156,0.6346153846153846,0.014080469834608133,0.010082122299578299,0.03956300435496969,-0.03017866906917774,0.040003008211468426,-0.02370188624937828,0.3218370808724557,-0.2643474407267893,154,0.5909090909090909,0.015624382763700003,0.00977237989468115,0.051495330132305825,-0.03618920787984174,0.055945262885770064,-0.034408528008934056,0.3240241369839662,-0.328348062542488,152,0.625,0.0281365986043562,0.02596591820110345,0.07954092986289002,-0.05753728682653348,0.08678736308954987,-0.050269386108612875,0.4429967426710097,-0.328348062542488,142,0.6549295774647887,0.05009815162920523,0.04170378358704055,0.1139537359101242,-0.0710971409856001,0.13250101068517758,-0.05852501892032132,0.5272379166829257,-0.2805834092980857,-0.0008150902732709207,-0.019607843137254943,0.002144009367408002,-0.005561507187222576,-0.02450980392156865,0.0014357411708014398,-0.011612443736405645,-0.05588235294117638,-0.00025096396116179587,-0.007743554958884964,-0.0009803921568627416,0.0042367114188275184,0.004211360369952963,0.04411093357680895,0.008148092278986142,-0.006550643530472343,-0.040827436037016884,0.00784092182699054,-0.0012527072102929346,-0.011363636363636354,0.01024881793767883,-0.009351547035066292,-0.0042344096734748815,0.015038652728882787
pullback25_pct,PULLBACK_GE_3PCT,237,0.03,inf,False,-0.009955583983976252,True,True,True,True,True,True,True,False,False,False,True,False,112,0.6964285714285714,0.018166836826470294,0.01395952336400615,0.03785639593047289,-0.027821610848854934,0.041780820966727875,-0.021940942633842265,0.1855422035232936,-0.1708126317859553,112,0.6607142857142857,0.025643531139802223,0.019687727080063,0.055303071751809506,-0.0321145216309488,0.06263557959121667,-0.030705825015786566,0.3438660547408105,-0.1708126317859553,112,0.6964285714285714,0.04685419049773655,0.037194183247907,0.08765394876707477,-0.04674525494368644,0.09941482920662878,-0.04065732129807986,0.7044606477108393,-0.1708126317859553,112,0.6428571428571429,0.05138613159236094,0.0445225104376751,0.1173327160825017,-0.0673177204898924,0.13734545227382475,-0.06291334709341605,0.8833641958180913,-0.3550899808124061,109,0.5045871559633027,0.0009778512821904857,0.0003799392097263,0.04683207675725498,-0.04572552651648632,0.042802036689223846,-0.04885399701599079,0.3218370808724557,-0.2643474407267893,109,0.6697247706422018,0.022776181547196066,0.020303525325265,0.05949442311992846,-0.05168025275306684,0.0675429421496118,-0.06191330299548441,0.3240241369839662,-0.328348062542488,109,0.6880733944954128,0.036645308068300665,0.0274667845263971,0.08750980866126686,-0.07555579618088941,0.11322532592826275,-0.07973486499863715,0.5063058295135336,-0.328348062542488,100,0.65,0.06730373669833868,0.06445736572852784,0.15552386703253251,-0.09653364820802131,0.18517725143100097,-0.09456296801490176,0.5391487451989405,-0.4251798951500414,0.009855604743334303,0.10819327731092432,0.00010383827883471766,0.009592819342447101,0.0626750700280112,-0.0003884411277823886,0.018132922997453747,0.05721288515406164,0.0010665526418071544,0.015095558879724205,0.029131652661064433,-0.0007286879733612514,-0.008891258182464683,-0.0859172950752729,-0.017004018487626366,0.0006011552530237191,0.03798824369609399,-0.019663853159559812,0.007256002253651531,0.05170975813177647,-0.019216660952345442,0.00785403803406716,-0.009163987138263607,-0.020999296365697653
pullback25_pct,PULLBACK_1_TO_3PCT,385,0.01,0.03,False,-0.010325902050905375,True,True,True,True,False,False,True,False,True,True,True,False,227,0.5770925110132159,0.006469925217793419,0.0042283743900111,0.029433119774017292,-0.02512700701007536,0.029400515532841603,-0.022587603000936315,0.2114868200090029,-0.1128291113323373,227,0.6431718061674009,0.016435346308994687,0.0122330208211405,0.04474045616188897,-0.03458374058634563,0.045971983047595644,-0.03013665291072397,0.3148433649727242,-0.1188298856533993,227,0.6784140969162996,0.031096670493080077,0.024600288868495,0.06688030675709586,-0.044392096420049106,0.07379599961092004,-0.04171107813017928,0.3571567530841413,-0.206355477277342,227,0.6431718061674009,0.04279191187095987,0.034206943265268,0.09479048278463431,-0.050933907306774294,0.10670021628656642,-0.05700943729042508,0.3571567530841413,-0.2829564616925996,143,0.6433566433566433,0.01360662699276809,0.0121645398056691,0.036838420276582594,-0.02886774010959524,0.03826073886285385,-0.026478137339695035,0.1492918961447678,-0.198968298801774,140,0.6,0.02240978580496708,0.0152514478372369,0.058288460450890436,-0.03197928482144375,0.060069939580856144,-0.03536800287125522,0.2326341596295287,-0.198968298801774,136,0.5808823529411765,0.018399431358305077,0.01654836911804965,0.07934550030261495,-0.06606968173994894,0.08905121887119595,-0.05868396782803194,0.4429967426710097,-0.2892426293532263,127,0.6535433070866141,0.06081255971628457,0.0418633715489689,0.13207290836850097,-0.07361037069585093,0.1399972441854093,-0.07093145144143656,2.0305093979842006,-0.2954358883440424,-0.001841306865342572,-0.011142783104431175,-0.0005428220882593322,0.0003846345116395658,0.04513259048112639,0.00018073097728020862,0.0023754029927972736,0.03919841064178986,1.2795809707734362e-05,0.006501339158323134,0.029446315971322412,0.005175221829629713,0.0037375175281129207,0.0528521923180677,0.005371841188669388,0.00023475951079473395,-0.031736526946107846,0.0068814469646693716,-0.010989874456344056,-0.05548128342245984,0.0018342362182597674,0.0013628610520130466,-0.005620680051649507,0.002632220207767544
