date,equity,cash,holding_code,scheduled_code
2020-01-06,300000.0,300000.0,,
2020-01-07,300000.0,300000.0,,7267
2020-01-08,300000.0,300000.0,,
2020-01-09,300000.0,300000.0,,6301
2020-01-10,300000.0,300000.0,,
2020-01-14,300000.0,300000.0,,3407
2020-01-15,299881.0,180881.0,3407,
2020-01-16,299431.0,180881.0,3407,
2020-01-17,299531.0,180881.0,3407,
2020-01-20,301431.0,180881.0,3407,
2020-01-21,298231.0,180881.0,3407,
2020-01-22,299331.0,180881.0,3407,
2020-01-23,297714.05,297714.05,,
2020-01-24,297714.05,297714.05,,
2020-01-27,297714.05,297714.05,,
2020-01-28,297714.05,297714.05,,
2020-01-29,297714.05,297714.05,,8002
2020-01-30,295294.06526140484,295294.06526140484,,
2020-01-31,295294.06526140484,295294.06526140484,,8267
2020-02-03,295294.06526140484,295294.06526140484,,
2020-02-04,295294.06526140484,295294.06526140484,,6981
2020-02-05,295294.06526140484,295294.06526140484,,8058
2020-02-06,295294.06526140484,295294.06526140484,,6971
2020-02-07,295294.06526140484,295294.06526140484,,
2020-02-10,295294.06526140484,295294.06526140484,,
2020-02-12,295294.06526140484,295294.06526140484,,6762
2020-02-13,295294.06526140484,295294.06526140484,,
2020-02-14,295294.06526140484,295294.06526140484,,6273
2020-02-17,295294.06526140484,295294.06526140484,,4901
2020-02-18,295294.06526140484,295294.06526140484,,8802
2020-02-19,295294.06526140484,295294.06526140484,,6758
2020-02-20,295294.06526140484,295294.06526140484,,6861
2020-02-21,295294.06526140484,295294.06526140484,,
2020-02-25,295294.06526140484,295294.06526140484,,
2020-02-26,295294.06526140484,295294.06526140484,,
2020-02-27,295294.06526140484,295294.06526140484,,
2020-02-28,295294.06526140484,295294.06526140484,,
2020-03-02,295294.06526140484,295294.06526140484,,4901
2020-03-03,295294.06526140484,295294.06526140484,,
2020-03-04,295294.06526140484,295294.06526140484,,6920
2020-03-05,295294.06526140484,295294.06526140484,,
2020-03-06,295294.06526140484,295294.06526140484,,
2020-03-09,295294.06526140484,295294.06526140484,,
2020-03-10,295294.06526140484,295294.06526140484,,
2020-03-11,295294.06526140484,295294.06526140484,,
2020-03-12,295294.06526140484,295294.06526140484,,
2020-03-13,295294.06526140484,295294.06526140484,,
2020-03-16,295294.06526140484,295294.06526140484,,
2020-03-17,295294.06526140484,295294.06526140484,,4519
2020-03-18,295294.06526140484,295294.06526140484,,
2020-03-19,295294.06526140484,295294.06526140484,,
2020-03-23,295294.06526140484,295294.06526140484,,
2020-03-24,295294.06526140484,295294.06526140484,,
2020-03-25,295294.06526140484,295294.06526140484,,
2020-03-26,295294.06526140484,295294.06526140484,,
2020-03-27,295294.06526140484,295294.06526140484,,
2020-03-30,295294.06526140484,295294.06526140484,,
2020-03-31,295294.06526140484,295294.06526140484,,
2020-04-01,295294.06526140484,295294.06526140484,,
2020-04-02,295294.06526140484,295294.06526140484,,
2020-04-03,295294.06526140484,295294.06526140484,,
2020-04-06,295294.06526140484,295294.06526140484,,
2020-04-07,295294.06526140484,295294.06526140484,,
2020-04-08,295294.06526140484,295294.06526140484,,
2020-04-09,295294.06526140484,295294.06526140484,,
2020-04-10,295294.06526140484,295294.06526140484,,
2020-04-13,295294.06526140484,295294.06526140484,,
2020-04-14,295294.06526140484,295294.06526140484,,
2020-04-15,295294.06526140484,295294.06526140484,,
2020-04-16,295294.06526140484,295294.06526140484,,
2020-04-17,295294.06526140484,295294.06526140484,,
2020-04-20,295294.06526140484,295294.06526140484,,
2020-04-21,295294.06526140484,295294.06526140484,,
2020-04-22,295294.06526140484,295294.06526140484,,
2020-04-23,295294.06526140484,295294.06526140484,,
2020-04-24,295294.06526140484,295294.06526140484,,
2020-04-27,295294.06526140484,295294.06526140484,,
2020-04-28,295294.06526140484,295294.06526140484,,
2020-04-30,295294.06526140484,295294.06526140484,,
2020-05-01,295294.06526140484,295294.06526140484,,
2020-05-07,295294.06526140484,295294.06526140484,,
2020-05-08,295294.06526140484,295294.06526140484,,
2020-05-11,295294.06526140484,295294.06526140484,,
2020-05-12,295294.06526140484,295294.06526140484,,
2020-05-13,295294.06526140484,295294.06526140484,,
2020-05-14,295294.06526140484,295294.06526140484,,
2020-05-15,295294.06526140484,295294.06526140484,,
2020-05-18,295294.06526140484,295294.06526140484,,
2020-05-19,295294.06526140484,295294.06526140484,,
2020-05-20,295294.06526140484,295294.06526140484,,
2020-05-21,295294.06526140484,295294.06526140484,,
2020-05-22,295294.06526140484,295294.06526140484,,
2020-05-25,295294.06526140484,295294.06526140484,,
2020-05-26,295294.06526140484,295294.06526140484,,
2020-05-27,295294.06526140484,295294.06526140484,,
2020-05-28,295294.06526140484,295294.06526140484,,
2020-05-29,295294.06526140484,295294.06526140484,,
2020-06-01,295294.06526140484,295294.06526140484,,
2020-06-02,295294.06526140484,295294.06526140484,,
2020-06-03,295294.06526140484,295294.06526140484,,
2020-06-04,295294.06526140484,295294.06526140484,,
2020-06-05,295294.06526140484,295294.06526140484,,
2020-06-08,295294.06526140484,295294.06526140484,,
2020-06-09,295294.06526140484,295294.06526140484,,
2020-06-10,295294.06526140484,295294.06526140484,,
2020-06-11,295294.06526140484,295294.06526140484,,
2020-06-12,295294.06526140484,295294.06526140484,,
2020-06-15,295294.06526140484,295294.06526140484,,
2020-06-16,295294.06526140484,295294.06526140484,,
2020-06-17,295294.06526140484,295294.06526140484,,
2020-06-18,295294.06526140484,295294.06526140484,,
2020-06-19,295294.06526140484,295294.06526140484,,
2020-06-22,295294.06526140484,295294.06526140484,,
2020-06-23,295294.06526140484,295294.06526140484,,
2020-06-24,295294.06526140484,295294.06526140484,,
2020-06-25,295294.06526140484,295294.06526140484,,
2020-06-26,295294.06526140484,295294.06526140484,,
2020-06-29,295294.06526140484,295294.06526140484,,
2020-06-30,295294.06526140484,295294.06526140484,,
2020-07-01,295294.06526140484,295294.06526140484,,
2020-07-02,295294.06526140484,295294.06526140484,,8750
2020-07-03,295294.06526140484,295294.06526140484,,4452
2020-07-06,295294.06526140484,295294.06526140484,,8306
2020-07-07,293995.21709245956,166315.21526140484,8306,
2020-07-08,292424.69317953923,292424.69317953923,,
2020-07-09,292424.69317953923,292424.69317953923,,
2020-07-10,292424.69317953923,292424.69317953923,,
2020-07-13,292424.69317953923,292424.69317953923,,7203
2020-07-14,292424.69317953923,292424.69317953923,,8750
2020-07-15,292424.69317953923,292424.69317953923,,
2020-07-16,292424.69317953923,292424.69317953923,,
2020-07-17,292424.69317953923,292424.69317953923,,4568
2020-07-20,292424.69317953923,292424.69317953923,,
2020-07-21,292424.69317953923,292424.69317953923,,
2020-07-22,292424.69317953923,292424.69317953923,,
2020-07-27,292424.69317953923,292424.69317953923,,9735
2020-07-28,292424.69317953923,292424.69317953923,,
2020-07-29,292424.69317953923,292424.69317953923,,
2020-07-30,292424.69317953923,292424.69317953923,,7269
2020-07-31,292424.69317953923,292424.69317953923,,6723
2020-08-03,295666.4931795392,234166.49317953922,6723,
2020-08-04,295466.4931795392,234166.49317953922,6723,
2020-08-05,294566.4931795392,234166.49317953922,6723,
2020-08-06,294166.4931795392,234166.49317953922,6723,
2020-08-07,296866.4931795392,234166.49317953922,6723,
2020-08-11,298766.4931795392,234166.49317953922,6723,
2020-08-12,300666.4931795392,234166.49317953922,6723,
2020-08-13,303766.4931795392,234166.49317953922,6723,
2020-08-14,302966.4931795392,234166.49317953922,6723,
2020-08-17,302566.4931795392,234166.49317953922,6723,
2020-08-18,302266.4931795392,234166.49317953922,6723,
2020-08-19,301466.4931795392,234166.49317953922,6723,
2020-08-20,298666.4931795392,234166.49317953922,6723,
2020-08-21,301766.4931795392,234166.49317953922,6723,
2020-08-24,302866.4931795392,234166.49317953922,6723,
2020-08-25,302366.4931795392,234166.49317953922,6723,
2020-08-26,304366.4931795392,234166.49317953922,6723,
2020-08-27,303466.4931795392,234166.49317953922,6723,
2020-08-28,300166.4931795392,234166.49317953922,6723,
