entry,exit,n,win_rate,total_pnl_jpy,ending_equity,expectancy_jpy,expectancy_R,profit_factor,max_drawdown,max_losing_streak,avg_gain_R,avg_loss_R,avg_win_loss_R_ratio,avg_holding_sessions,largest_winner_R,low_n_selection
ma75_reclaim,sma75_break,16,0.4375,79831.15576956619,379831.1557695662,4989.447235597896,2.2406787887687063,5.0052593768161255,-0.0774701875020879,4,6.159087466674334,-0.8069724051578926,7.632339628105678,23.875,25.55361146496814,False
breakout20_vol15,sma75_break,25,0.16,-10939.80710127682,289060.1928987232,-437.59228405107103,-0.13268657139833312,0.8057734292975891,-0.18940877945565493,14,5.0208567840366385,-1.1143138771954706,4.505783232883395,12.72,10.596185469546576,False
breakout55,sma20_break,15,0.3333333333333333,26886.15259819047,326886.15259819047,1792.410173212698,0.664039871378712,2.094105297733044,-0.0916187882491637,4,4.3822786388680735,-1.1950795123659685,3.6669347884579,11.2,13.497384068278915,False
breakout100,trail_2ATR,14,0.2857142857142857,28633.607121494948,328633.60712149495,2045.2576515353628,0.7812135840926967,2.174992248587984,-0.04083814108992023,3,5.473089156349831,-1.0955366448101571,4.995806559531607,6.142857142857143,10.847216216216324,False
reversal5_bottom10,sma75_break,14,0.5714285714285714,23239.59329681401,323239.593296814,1659.9709497724305,0.730988794927422,2.9418200395904965,-0.0527232327392092,2,1.8526533408680612,-0.7645639329934303,2.4231503225826123,11.785714285714286,11.530340242290302,False
reversal10_bottom10,sma75_break,10,0.3,17691.574118369026,317691.574118369,1769.157411836902,0.8173486803168954,2.6056105454876946,-0.0576339621567189,3,4.45880078594468,-0.7432736506664409,5.998868360188457,14.3,13.068747089521706,False
reversal20_bottom10,sma75_break,10,0.6,96.53325685771415,300096.5332568577,9.653325685774325,-0.006566628628549284,1.035338565279114,-0.006860715870553258,2,0.2601026530693817,-0.4065705511754457,0.6397478920138037,1.1,0.5256124964231663,False
momentum20_top10,fixed_3d_1p5R,0,,0.0,300000.0,,,,0.0,0,,,,,,True
momentum60_top10,sma20_break,1,1.0,1110.0362213135231,301110.0362213135,1110.0362213134867,0.5726053498648576,INF,-0.0017910558778440056,0,0.5726053498648576,,,1.0,0.5726053498648576,True
near52w_high,trail_4ATR,7,0.2857142857142857,26540.10078528279,326540.1007852828,3791.442969326117,1.6744074383162402,2.93450119316184,-0.05689329524287967,3,8.887796779166772,-1.2109482980239725,7.339534473659936,12.714285714285714,12.670823529411779,True
golden25_75,sma20_break,29,0.3448275862068966,29681.995554897236,329681.99555489724,1023.5170880999017,0.3550233864179289,1.8060729372172684,-0.09279285398179526,5,2.50561576291346,-0.7768673380534032,3.2252813835522836,8.655172413793103,14.262827102803703,False
sma25_reclaim_uptrend,sma75_break,18,0.2222222222222222,47533.09032788966,347533.09032788966,2640.7272404383193,0.8197844610011606,1.9581025475260088,-0.11809962805645824,6,8.326564044248778,-1.3250097056410166,6.284153247179825,20.27777777777778,19.97760127304624,False
