feature,group,event_count,5d_n,5d_win_rate,5d_mean_return,5d_median_return,5d_avg_gain,5d_avg_loss,5d_mean_max_up,5d_mean_max_down,5d_best_max_up,5d_worst_max_down,10d_n,10d_win_rate,10d_mean_return,10d_median_return,10d_avg_gain,10d_avg_loss,10d_mean_max_up,10d_mean_max_down,10d_best_max_up,10d_worst_max_down,20d_n,20d_win_rate,20d_mean_return,20d_median_return,20d_avg_gain,20d_avg_loss,20d_mean_max_up,20d_mean_max_down,20d_best_max_up,20d_worst_max_down,40d_n,40d_win_rate,40d_mean_return,40d_median_return,40d_avg_gain,40d_avg_loss,40d_mean_max_up,40d_mean_max_down,40d_best_max_up,40d_worst_max_down
sma75_rising,TRUE,1827,1821,0.5678198791872597,0.005753378778892758,0.005250593243526502,0.03353624870221592,-0.031104856557490422,0.03376317209174016,-0.027449841018523352,0.36950203448943997,-0.3213257696144297,1816,0.5798458149779736,0.013658656975866637,0.009483984393855449,0.050310953894237,-0.0370701491874444,0.051342510168957564,-0.03769106011565672,0.36950203448943997,-0.32834806254248805,1808,0.5896017699115044,0.022256333120740088,0.01651113076727173,0.07321705147154116,-0.05095677437515471,0.07816819802328807,-0.05267264482568211,0.7044611488441146,-0.32834806254248805,1776,0.6120495495495496,0.03892959262572812,0.029502927601321005,0.1067975026358702,-0.06824117567136305,0.11670881128280113,-0.07215635506088605,2.0305093979842006,-0.4884928318893208
sma75_rising,FALSE,1907,1903,0.5286389910667367,0.0026533290326689898,0.0026508228724504423,0.032923492780533234,-0.03161232949104431,0.031241778273770723,-0.02751042504833877,0.3410138315535953,-0.3013508401882544,1898,0.530031612223393,0.0037904861800352775,0.00325389073671023,0.045242236165949114,-0.04300712324718052,0.04582357488735272,-0.0396134471416309,0.4521452145214522,-0.3013508401882544,1889,0.5590259396506088,0.010756007404864999,0.009784765568101372,0.0645560423831016,-0.05765431658887386,0.06766979586245785,-0.056025632094933296,0.5259914255091105,-0.41029406803007207,1854,0.5841423948220065,0.02991358522143291,0.02041841452582105,0.10228452650031314,-0.07183682493415912,0.10387006239751143,-0.07569813010565683,1.139085337105139,-0.433203952102313
macd_above_signal,TRUE,2119,2113,0.5305253194510176,0.0029321464986027898,0.002443738157618114,0.03153968627851487,-0.029694870434488266,0.030790265224649154,-0.026228718018138534,0.36950203448943997,-0.22832978338892018,2108,0.5241935483870968,0.004015290364741897,0.0029161439373504017,0.04512695949618055,-0.04131842131178003,0.04520728631089362,-0.038451353625278926,0.4521452145214522,-0.2513507027141858,2100,0.5438095238095239,0.010737369727119724,0.007866339646023346,0.06554907812927638,-0.054716078239207336,0.06683350571847124,-0.055065987434949934,0.5955328570508582,-0.41029406803007207,2063,0.5792535142995637,0.02802883802361372,0.020149673156125925,0.09987864040474213,-0.07105252013966713,0.102946908822662,-0.07485880608011233,1.139085337105139,-0.4884928318893208
macd_above_signal,FALSE,1615,1611,0.5704531346989448,0.005791782963367542,0.0058932495286661,0.03530089943100384,-0.03378795939050793,0.034684053391906174,-0.029123040465172553,0.3410138315535953,-0.3213257696144297,1606,0.5940224159402242,0.014653942558533537,0.011898189209939014,0.050970475671170704,-0.03866194459367026,0.05287309094623825,-0.03896502764804487,0.3818302435778971,-0.32834806254248805,1597,0.6136505948653725,0.023800295455940288,0.01961173592385057,0.07281990857304545,-0.05414681584163619,0.08065496831652981,-0.05349153867173914,0.7044611488441146,-0.32834806254248805,1567,0.6222080408423739,0.04261343373395957,0.03468195294043386,0.1102646690065264,-0.06880540814231176,0.11963654857823187,-0.07278896162141009,2.0305093979842006,-0.42517982699891
macd_above_zero,TRUE,1616,1615,0.5256965944272446,0.0018551113595732113,0.001844973559361529,0.03141209729339596,-0.03135478908130124,0.030161943439365672,-0.02730262148969964,0.30401093892433906,-0.22832978338892018,1611,0.521415270018622,0.0025458830776149367,0.002310218516211826,0.04403882717633797,-0.04271584050660549,0.044356467568508494,-0.04008104657577217,0.4521452145214522,-0.27014802354017975,1603,0.5520898315658141,0.010895502438142747,0.009452334932029682,0.06532211938243462,-0.05634718609652488,0.06658702828006934,-0.0569020932423672,0.5259914255091105,-0.41029406803007207,1563,0.5886116442738324,0.02590905454944142,0.020615893519233985,0.09702222634158573,-0.07595731460043914,0.10213146412554405,-0.07776392235087586,2.0305093979842006,-0.433203952102313
macd_above_zero,FALSE,2118,2109,0.5647226173541963,0.005941291161603636,0.005741783238309539,0.03453286674493243,-0.03139238335169316,0.034245757126348475,-0.02761724308006391,0.36950203448943997,-0.3213257696144297,2103,0.5796481217308607,0.01326535720391969,0.00985484030990369,0.05044996653441548,-0.03814013962044195,0.05171320701386364,-0.03759520770864436,0.3818302435778971,-0.32834806254248805,2094,0.5907354345749761,0.020578824193765635,0.015851408681436086,0.07147169116553236,-0.05294208424067556,0.07756319965488853,-0.052459649190376136,0.7044611488441146,-0.32834806254248805,2067,0.6047411707789067,0.040688384732971865,0.02919836782812757,0.11008206346461695,-0.06556334324475291,0.11621599714321029,-0.0710928926800205,0.975903648895065,-0.4884928318893208
price_above_sma25,TRUE,2518,2511,0.5296694544006372,0.003120486529323221,0.002272124802456865,0.032304141811256716,-0.03007617032006919,0.031193477544781068,-0.026877170818120116,0.36950203448943997,-0.22832978338892018,2505,0.5285429141716567,0.00477361157705817,0.0035325479555230466,0.04605088567890793,-0.04157207433277641,0.04592898833439918,-0.038932662526801144,0.4521452145214522,-0.27014802354017975,2494,0.5529270248596632,0.012042702067183674,0.009463487196471165,0.06625286355049552,-0.05510170699063542,0.06832480612248043,-0.05505477051481871,0.5955328570508582,-0.41029406803007207,2450,0.58,0.02878559095382981,0.020486450301011705,0.10192539382597608,-0.07235763075932716,0.10473103740609227,-0.07538894359600548,1.139085337105139,-0.4884928318893208
price_above_sma25,FALSE,1216,1213,0.5853256389117889,0.006340186504865782,0.007269728029198452,0.03497606519202292,-0.034422409750871644,0.03512697305778997,-0.02873035732680963,0.32183708087245577,-0.3213257696144297,1209,0.607940446650124,0.016576151230231647,0.013449586575915218,0.051047280809118724,-0.03703217067235637,0.05389497752303761,-0.03813645013665109,0.3438663955711003,-0.32834806254248805,1203,0.6176226101413134,0.025372443320475464,0.01922875103517452,0.07383291896242915,-0.053017014105779685,0.08209000826335952,-0.05299913816143343,0.7044611488441146,-0.32834806254248805,1180,0.6347457627118644,0.04582546242961589,0.035446306030677,0.10951541113260088,-0.0648561421609543,0.12140584989687708,-0.0710094135540745,2.0305093979842006,-0.42517982699891
sma25_above_sma75,TRUE,1723,1718,0.5779976717112922,0.006139248920830231,0.0064927542996796594,0.03449643999566955,-0.03301912990210798,0.034631176904772985,-0.0280072843660276,0.32183708087245577,-0.3213257696144297,1714,0.5968494749124854,0.014481567231377938,0.012008582760015929,0.0500542481763315,-0.038348967514251944,0.05253085506732119,-0.03783433356480672,0.3438663955711003,-0.32834806254248805,1706,0.6072684642438453,0.02314769651015718,0.018359836839367927,0.07304963329152579,-0.05409484281568396,0.08004958627319367,-0.05282259673309299,0.7044611488441146,-0.32834806254248805,1676,0.6205250596658711,0.041147028280178626,0.03276023407616069,0.10770329464136852,-0.0676871179708237,0.1180419407106247,-0.07218292687900153,2.0305093979842006,-0.4884928318893208
sma25_above_sma75,FALSE,2011,2006,0.5219341974077767,0.0024820330306811905,0.0017776826801764178,0.03203681946476392,-0.030130371012722958,0.03062785568875599,-0.027029902702335136,0.36950203448943997,-0.22744161864876045,2000,0.518,0.0035885288016494926,0.0021324886621211236,0.04564249821350312,-0.04164960596665655,0.045086629008816936,-0.039392620057384656,0.4521452145214522,-0.27014802354017975,1991,0.5454545454545454,0.01058140533589147,0.008017856556824077,0.0649550069384875,-0.05478799502927744,0.06659555611663452,-0.055725369585889306,0.5955328570508582,-0.41029406803007207,1954,0.5783009211873081,0.028473042019575432,0.02026240752986186,0.10163858507788212,-0.07203804991697861,0.10338364989367145,-0.07549408104135863,1.139085337105139,-0.433203952102313
