strategy,phase,date,cash_jpy,market_value_jpy,equity_jpy,capital_utilization,open_positions
S1_V2_FOUNDATION,all,2021-09-24,300000.0,0.0,300000.0,0.0,0
S1_V2_FOUNDATION,all,2021-09-27,233600.0,66900.0,300500.0,0.2226289517470882,1
S1_V2_FOUNDATION,all,2021-09-28,233600.0,67740.00244140625,301340.00244140625,0.22479591787544997,1
S1_V2_FOUNDATION,all,2021-09-29,299500.0,0.0,299500.0,0.0,0
S1_V2_FOUNDATION,all,2021-09-30,299500.0,0.0,299500.0,0.0,0
S1_V2_FOUNDATION,all,2021-10-01,299500.0,0.0,299500.0,0.0,0
S1_V2_FOUNDATION,all,2021-10-04,299500.0,0.0,299500.0,0.0,0
S1_V2_FOUNDATION,all,2021-10-05,203500.0,96700.0,300200.0,0.3221185876082612,1
S1_V2_FOUNDATION,all,2021-10-06,203500.0,98200.0,301700.0,0.3254888962545575,1
S1_V2_FOUNDATION,all,2021-10-07,203500.0,96700.0,300200.0,0.3221185876082612,1
S1_V2_FOUNDATION,all,2021-10-08,203500.0,96900.0,300400.0,0.3225699067909454,1
S1_V2_FOUNDATION,all,2021-10-11,75780.0048828125,228959.99755859375,304740.00244140625,0.7513289877413352,2
S1_V2_FOUNDATION,all,2021-10-12,75780.0048828125,225980.0048828125,301760.009765625,0.7488732687221533,2
S1_V2_FOUNDATION,all,2021-10-13,170780.0048828125,129719.9951171875,300500.0,0.4316805161969634,1
S1_V2_FOUNDATION,all,2021-10-14,170780.0048828125,130740.00244140625,301520.00732421875,0.4336030753038023,1
S1_V2_FOUNDATION,all,2021-10-15,170780.0048828125,133659.99755859375,304440.00244140625,0.43903559481910887,1
S1_V2_FOUNDATION,all,2021-10-18,170780.0048828125,133759.99755859375,304540.00244140625,0.43921979538411965,1
S1_V2_FOUNDATION,all,2021-10-19,170780.0048828125,134200.0,304980.0048828125,0.44002884730612385,1
S1_V2_FOUNDATION,all,2021-10-20,170780.0048828125,136600.0,307380.0048828125,0.4444010600236611,1
S1_V2_FOUNDATION,all,2021-10-21,170780.0048828125,133840.00244140625,304620.00732421875,0.43936707774731026,1
S1_V2_FOUNDATION,all,2021-10-22,170780.0048828125,133700.0,304480.0048828125,0.43910929406171717,1
S1_V2_FOUNDATION,all,2021-10-25,170780.0048828125,134640.00244140625,305420.00732421875,0.44083556811155167,1
S1_V2_FOUNDATION,all,2021-10-26,170780.0048828125,135500.0,306280.0048828125,0.4424056348433337,1
S1_V2_FOUNDATION,all,2021-10-27,170780.0048828125,135600.0,306380.0048828125,0.44258762921511713,1
S1_V2_FOUNDATION,all,2021-10-28,170780.0048828125,133000.0,303780.0048828125,0.43781683409777633,1
S1_V2_FOUNDATION,all,2021-10-29,170780.0048828125,131080.0048828125,301860.009765625,0.4342410410196029,1
S1_V2_FOUNDATION,all,2021-11-01,170780.0048828125,135980.0048828125,306760.009765625,0.44327813454793474,1
S1_V2_FOUNDATION,all,2021-11-02,72980.0048828125,230830.0048828125,303810.009765625,0.7597840672230876,2
S1_V2_FOUNDATION,all,2021-11-04,169430.0048828125,137800.0,307230.0048828125,0.44852390004212445,1
S1_V2_FOUNDATION,all,2021-11-05,169430.0048828125,140219.9951171875,309650.0,0.452833828894518,1
S1_V2_FOUNDATION,all,2021-11-08,169430.0048828125,142219.9951171875,311650.0,0.45634524343714905,1
S1_V2_FOUNDATION,all,2021-11-09,169430.0048828125,140359.99755859375,309790.00244140625,0.4530811080165231,1
S1_V2_FOUNDATION,all,2021-11-10,169430.0048828125,140280.0048828125,309710.009765625,0.45293984843747953,1
S1_V2_FOUNDATION,all,2021-11-11,16480.0048828125,294730.0048828125,311210.009765625,0.9470453893972635,2
S1_V2_FOUNDATION,all,2021-11-12,53946.66748046875,261380.0048828125,315326.67236328125,0.8289181594561784,2
S1_V2_FOUNDATION,all,2021-11-15,168496.66748046875,145440.00244140625,313936.669921875,0.46327815886433354,1
S1_V2_FOUNDATION,all,2021-11-16,168496.66748046875,147300.0,315796.66748046875,0.46643937434555144,1
S1_V2_FOUNDATION,all,2021-11-17,168496.66748046875,144759.99755859375,313256.6650390625,0.46211306482670517,1
S1_V2_FOUNDATION,all,2021-11-18,168496.66748046875,144059.99755859375,312556.6650390625,0.46090841652853415,1
S1_V2_FOUNDATION,all,2021-11-19,168496.66748046875,145780.0048828125,314276.67236328125,0.4638588151853068,1
S1_V2_FOUNDATION,all,2021-11-22,168496.66748046875,146580.0048828125,315076.67236328125,0.4652201122455894,1
S1_V2_FOUNDATION,all,2021-11-24,108846.66748046875,204459.99755859375,313306.6650390625,0.6525874498491823,2
S1_V2_FOUNDATION,all,2021-11-25,167684.16748046875,146000.0,313684.16748046875,0.46543630548102355,1
S1_V2_FOUNDATION,all,2021-11-26,108714.16748046875,200165.00244140625,308879.169921875,0.6480365849598537,2
S1_V2_FOUNDATION,all,2021-11-29,166076.66748046875,139400.0,305476.66748046875,0.456335998260531,1
S1_V2_FOUNDATION,all,2021-11-30,166076.66748046875,133759.99755859375,299836.6650390625,0.4461095428111422,1
