code,date,original_open,original_high,original_low,original_close,repaired_high,repaired_low
2503,2022-05-17,1960.0,1961.5,1884.5,1883.0,1961.5,1883.0
5802,2022-05-17,344.0,348.75,344.0,348.875,348.875,344.0
6178,2022-05-17,937.0,945.0,929.2000122070312,928.5,945.0,928.5
7182,2022-05-17,997.0,1001.0,960.0,959.0,1001.0,959.0
8035,2022-05-17,19106.666015625,19333.333984375,18853.333984375,19346.666015625,19346.666015625,18853.333984375
8306,2022-05-17,738.0,739.2999877929688,717.2000122070312,717.0999755859375,739.2999877929688,717.0999755859375
8309,2022-05-17,501.375,503.75,489.25,488.625,503.75,488.625
8316,2022-05-17,1301.6666259765625,1306.6666259765625,1282.6666259765625,1281.6666259765625,1306.6666259765625,1281.6666259765625
8411,2022-05-17,1500.0,1513.5,1487.5,1486.5,1513.5,1486.5
8725,2022-05-17,1272.0,1285.3333740234375,1264.0,1262.3333740234375,1285.3333740234375,1262.3333740234375
