code,effective_date,ratio,previous_trading_date,future_factor_prev,future_factor_on_effective_date,factor_jump,factor_jump_matches_ratio
2502,2024-09-27,3.0,2024-09-26,3.0,1.0,3.0,True
2802,2025-03-28,2.0,2025-03-27,2.0,1.0,2.0,True
3382,2024-02-28,3.0,2024-02-27,3.0,1.0,3.0,True
4063,2023-03-30,5.0,2023-03-29,5.0,1.0,5.0,True
4452,2026-06-29,2.0,2026-06-26,2.0,1.0,2.0,True
4507,2024-09-27,3.0,2024-09-26,3.0,1.0,3.0,True
4543,2024-03-28,2.0,2024-03-27,2.0,1.0,2.0,True
4568,2020-09-29,3.0,2020-09-28,3.0,1.0,3.0,True
4661,2023-03-30,5.0,2023-03-29,5.0,1.0,5.0,True
4901,2024-03-28,3.0,2024-03-27,3.0,1.0,3.0,True
5108,2025-12-29,2.0,2025-12-26,2.0,1.0,2.0,True
5401,2025-09-29,5.0,2025-09-26,5.0,1.0,5.0,True
5802,2026-06-29,4.0,2026-06-26,4.0,1.0,4.0,True
5803,2026-03-30,6.0,2026-03-27,6.0,1.0,6.0,True
6146,2023-03-30,3.0,2023-03-29,3.0,1.0,3.0,True
6501,2024-06-27,5.0,2024-06-26,5.0,1.0,5.0,True
6701,2025-03-28,5.0,2025-03-27,5.0,1.0,5.0,True
6702,2024-03-28,10.0,2024-03-27,10.0,1.0,10.0,True
6758,2024-09-27,5.0,2024-09-26,5.0,1.0,5.0,True
6762,2021-09-29,3.0,2021-09-28,15.0,5.0,3.0,True
6762,2024-09-27,5.0,2024-09-26,5.0,1.0,5.0,True
6857,2023-09-28,4.0,2023-09-27,4.0,1.0,4.0,True
6902,2023-09-28,4.0,2023-09-27,4.0,1.0,4.0,True
6954,2023-03-30,5.0,2023-03-29,5.0,1.0,5.0,True
6971,2023-12-28,4.0,2023-12-27,4.0,1.0,4.0,True
6981,2023-09-28,3.0,2023-09-27,3.0,1.0,3.0,True
7011,2024-03-28,10.0,2024-03-27,10.0,1.0,10.0,True
7203,2021-09-29,5.0,2021-09-28,5.0,1.0,5.0,True
7267,2023-09-28,3.0,2023-09-27,3.0,1.0,3.0,True
7269,2024-03-28,4.0,2024-03-27,4.0,1.0,4.0,True
7832,2023-03-30,3.0,2023-03-29,3.0,1.0,3.0,True
7936,2024-06-27,4.0,2024-06-26,4.0,1.0,4.0,True
7974,2022-09-29,10.0,2022-09-28,10.0,1.0,10.0,True
8001,2025-12-29,5.0,2025-12-26,5.0,1.0,5.0,True
8015,2024-06-27,3.0,2024-06-26,3.0,1.0,3.0,True
8031,2024-06-27,2.0,2024-06-26,2.0,1.0,2.0,True
8035,2023-03-30,3.0,2023-03-29,3.0,1.0,3.0,True
8053,2026-06-29,4.0,2026-06-26,4.0,1.0,4.0,True
8058,2023-12-28,3.0,2023-12-27,3.0,1.0,3.0,True
8113,2024-12-27,3.0,2024-12-26,3.0,1.0,3.0,True
8267,2025-08-28,3.0,2025-08-27,3.0,1.0,3.0,True
8309,2023-12-28,2.0,2023-12-27,8.0,4.0,2.0,True
8309,2026-07-30,4.0,2026-07-29,4.0,1.0,4.0,True
8316,2024-09-27,3.0,2024-09-26,3.0,1.0,3.0,True
8411,2020-09-29,0.1,2020-09-28,0.1,1.0,0.1,True
8630,2024-03-28,3.0,2024-03-27,3.0,1.0,3.0,True
8697,2024-09-27,2.0,2024-09-26,2.0,1.0,2.0,True
8725,2024-03-28,3.0,2024-03-27,3.0,1.0,3.0,True
8750,2025-03-28,4.0,2025-03-27,4.0,1.0,4.0,True
8766,2022-09-29,3.0,2022-09-28,3.0,1.0,3.0,True
8801,2024-03-28,3.0,2024-03-27,3.0,1.0,3.0,True
8830,2025-12-29,2.0,2025-12-26,2.0,1.0,2.0,True
9020,2024-03-28,3.0,2024-03-27,3.0,1.0,3.0,True
9021,2024-03-28,2.0,2024-03-27,2.0,1.0,2.0,True
9022,2023-09-28,5.0,2023-09-27,5.0,1.0,5.0,True
9101,2022-09-29,3.0,2022-09-28,3.0,1.0,3.0,True
9104,2022-03-30,3.0,2022-03-29,3.0,1.0,3.0,True
9432,2023-06-29,25.0,2023-06-28,25.0,1.0,25.0,True
9433,2025-03-28,2.0,2025-03-27,2.0,1.0,2.0,True
9434,2024-09-27,10.0,2024-09-26,10.0,1.0,10.0,True
9735,2024-09-27,2.0,2024-09-26,2.0,1.0,2.0,True
9983,2023-02-27,3.0,2023-02-24,3.0,1.0,3.0,True
9984,2025-12-29,4.0,2025-12-26,4.0,1.0,4.0,True
